stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\Debug\allegro5.cfg r
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00000] Also searching C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
dtor     D               dtor.c:196  _al_register_destructor          [   0.00079] added dtor for timer 00BFD458, func 0FDC1744
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00102] Also searching C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00170] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00175] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00907] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.03988] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.04150] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.04157] al_display=00C39718
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.04161] al_display->vt=00C08078
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04247] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.04255] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04260] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04264] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04268] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04272] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04276] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04279] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04284] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04287] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04292] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04295] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
